precision,metric,accepted,coverage,risk,threshold
q2,exact_dsde,30,0.5,0.23333333333333334,0.0
q2,exact_dsde,31,0.5166666666666667,0.25806451612903225,0.0
q2,exact_dsde,32,0.5333333333333333,0.25,0.0
q2,exact_dsde,33,0.55,0.24242424242424243,0.0
q2,exact_dsde,34,0.5666666666666667,0.23529411764705882,0.0
q2,exact_dsde,35,0.5833333333333334,0.22857142857142856,0.0
q2,exact_dsde,36,0.6,0.2222222222222222,0.0
q2,exact_dsde,37,0.6166666666666667,0.21621621621621623,0.0
q2,exact_dsde,38,0.6333333333333333,0.21052631578947367,0.0
q2,exact_dsde,39,0.65,0.23076923076923078,0.0
q2,exact_dsde,40,0.6666666666666666,0.25,0.12000000000000001
q2,exact_dsde,41,0.6833333333333333,0.2682926829268293,0.13333333333333333
q2,exact_dsde,42,0.7,0.2857142857142857,0.15
q2,exact_dsde,43,0.7166666666666667,0.3023255813953488,0.19999999999999998
q2,exact_dsde,44,0.7333333333333333,0.29545454545454547,0.2
q2,exact_dsde,45,0.75,0.28888888888888886,0.2
q2,exact_dsde,46,0.7666666666666667,0.30434782608695654,0.2
q2,exact_dsde,47,0.7833333333333333,0.3191489361702128,0.2
q2,exact_dsde,48,0.8,0.3333333333333333,0.2
q2,exact_dsde,49,0.8166666666666667,0.3469387755102041,0.2
q2,exact_dsde,50,0.8333333333333334,0.36,0.4
q2,exact_dsde,51,0.85,0.37254901960784315,0.6
q2,exact_dsde,52,0.8666666666666667,0.38461538461538464,0.6
q2,exact_dsde,53,0.8833333333333333,0.39622641509433965,0.6666666666666666
q2,exact_dsde,54,0.9,0.4074074074074074,0.8
q2,exact_dsde,55,0.9166666666666666,0.41818181818181815,0.8
q2,exact_dsde,56,0.9333333333333333,0.42857142857142855,0.8
q2,exact_dsde,57,0.95,0.42105263157894735,0.8
q2,exact_dsde,58,0.9666666666666667,0.43103448275862066,0.8
q2,exact_dsde,59,0.9833333333333333,0.4406779661016949,0.8
q2,exact_dsde,60,1.0,0.45,0.8
q2,exact_sde,1,0.016666666666666666,0.0,0.0
q2,exact_sde,2,0.03333333333333333,0.5,0.0
q2,exact_sde,3,0.05,0.3333333333333333,0.0
q2,exact_sde,4,0.06666666666666667,0.5,0.0
q2,exact_sde,5,0.08333333333333333,0.4,0.0
q2,exact_sde,6,0.1,0.3333333333333333,0.0
q2,exact_sde,7,0.11666666666666667,0.2857142857142857,0.0
q2,exact_sde,8,0.13333333333333333,0.25,0.0
q2,exact_sde,9,0.15,0.2222222222222222,0.0
q2,exact_sde,10,0.16666666666666666,0.2,0.0
q2,exact_sde,11,0.18333333333333332,0.18181818181818182,0.0
q2,exact_sde,12,0.2,0.16666666666666666,0.0
q2,exact_sde,13,0.21666666666666667,0.15384615384615385,0.0
q2,exact_sde,14,0.23333333333333334,0.14285714285714285,0.0
q2,exact_sde,15,0.25,0.13333333333333333,0.0
q2,exact_sde,16,0.26666666666666666,0.1875,0.0
q2,exact_sde,17,0.2833333333333333,0.17647058823529413,0.0
q2,exact_sde,18,0.3,0.2222222222222222,0.0
q2,exact_sde,19,0.31666666666666665,0.21052631578947367,0.0
q2,exact_sde,20,0.3333333333333333,0.2,0.0
q2,exact_sde,21,0.35,0.23809523809523808,0.0
q2,exact_sde,22,0.36666666666666664,0.2727272727272727,0.0
q2,exact_sde,23,0.38333333333333336,0.2608695652173913,0.0
q2,exact_sde,24,0.4,0.25,0.0
q2,exact_sde,25,0.4166666666666667,0.24,0.0
q2,exact_sde,26,0.43333333333333335,0.2692307692307692,0.0
q2,exact_sde,27,0.45,0.25925925925925924,0.0
q2,exact_sde,28,0.4666666666666667,0.25,0.0
q2,exact_sde,29,0.48333333333333334,0.2413793103448276,0.0
q2,exact_sde,30,0.5,0.23333333333333334,0.0
q2,exact_sde,31,0.5166666666666667,0.25806451612903225,0.0
q2,exact_sde,32,0.5333333333333333,0.25,0.0
q2,exact_sde,33,0.55,0.24242424242424243,0.0
q2,exact_sde,34,0.5666666666666667,0.23529411764705882,0.0
q2,exact_sde,35,0.5833333333333334,0.22857142857142856,0.0
q2,exact_sde,36,0.6,0.2222222222222222,0.0
q2,exact_sde,37,0.6166666666666667,0.21621621621621623,0.0
q2,exact_sde,38,0.6333333333333333,0.21052631578947367,0.0
q2,exact_sde,39,0.65,0.23076923076923078,0.0
q2,exact_sde,40,0.6666666666666666,0.25,0.048
q2,exact_sde,41,0.6833333333333333,0.2682926829268293,0.10666666666666666
q2,exact_sde,42,0.7,0.2857142857142857,0.12
q2,exact_sde,43,0.7166666666666667,0.3023255813953488,0.13333333333333333
q2,exact_sde,44,0.7333333333333333,0.29545454545454547,0.16
q2,exact_sde,45,0.75,0.28888888888888886,0.16
q2,exact_sde,46,0.7666666666666667,0.30434782608695654,0.16
q2,exact_sde,47,0.7833333333333333,0.3191489361702128,0.16
q2,exact_sde,48,0.8,0.3333333333333333,0.16
q2,exact_sde,49,0.8166666666666667,0.3469387755102041,0.16
q2,exact_sde,50,0.8333333333333334,0.36,0.24
q2,exact_sde,51,0.85,0.37254901960784315,0.24
q2,exact_sde,52,0.8666666666666667,0.38461538461538464,0.25333333333333335
q2,exact_sde,53,0.8833333333333333,0.39622641509433965,0.28
q2,exact_sde,54,0.9,0.4074074074074074,0.28
q2,exact_sde,55,0.9166666666666666,0.41818181818181815,0.28
q2,exact_sde,56,0.9333333333333333,0.42857142857142855,0.36
q2,exact_sde,57,0.95,0.43859649122807015,0.36
q2,exact_sde,58,0.9666666666666667,0.4482758620689655,0.36
q2,exact_sde,59,0.9833333333333333,0.4406779661016949,0.4
q2,exact_sde,60,1.0,0.45,0.4
q2,mean_nll,1,0.018518518518518517,0.0,0.00035901068366307157
q2,mean_nll,2,0.037037037037037035,0.0,0.0009884595575198791
q2,mean_nll,3,0.05555555555555555,0.0,0.001214265057722232
q2,mean_nll,4,0.07407407407407407,0.0,0.0018752543469621027
q2,mean_nll,5,0.09259259259259259,0.0,0.0026353554651577546
q2,mean_nll,6,0.1111111111111111,0.0,0.003184972563414848
q2,mean_nll,7,0.12962962962962962,0.0,0.004521270106502685
q2,mean_nll,8,0.14814814814814814,0.125,0.005355993831951321
q2,mean_nll,9,0.16666666666666666,0.1111111111111111,0.006686511002853518
q2,mean_nll,10,0.18518518518518517,0.1,0.0083540939772049
q2,mean_nll,11,0.2037037037037037,0.09090909090909091,0.011567025319255556
q2,mean_nll,12,0.2222222222222222,0.08333333333333333,0.01185813112823153
q2,mean_nll,13,0.24074074074074073,0.07692307692307693,0.012504352982926589
q2,mean_nll,14,0.25925925925925924,0.07142857142857142,0.013202219562867365
q2,mean_nll,15,0.2777777777777778,0.13333333333333333,0.01370055628348344
q2,mean_nll,16,0.2962962962962963,0.125,0.014156187949401289
q2,mean_nll,17,0.3148148148148148,0.11764705882352941,0.014601096379679705
q2,mean_nll,18,0.3333333333333333,0.16666666666666666,0.016143247789298956
q2,mean_nll,19,0.35185185185185186,0.21052631578947367,0.020633044698011898
q2,mean_nll,20,0.37037037037037035,0.2,0.02121522756753734
q2,mean_nll,21,0.3888888888888889,0.19047619047619047,0.022722340918030506
q2,mean_nll,22,0.4074074074074074,0.18181818181818182,0.023177443160450506
q2,mean_nll,23,0.42592592592592593,0.21739130434782608,0.0253675034044065
q2,mean_nll,24,0.4444444444444444,0.25,0.031534167161923476
q2,mean_nll,25,0.46296296296296297,0.24,0.03176053666552261
q2,mean_nll,26,0.48148148148148145,0.23076923076923078,0.03182304816080573
q2,mean_nll,27,0.5,0.25925925925925924,0.03390229157879787
q2,mean_nll,28,0.5185185185185185,0.25,0.03470346741908337
q2,mean_nll,29,0.5370370370370371,0.2413793103448276,0.03498183385505045
q2,mean_nll,30,0.5555555555555556,0.26666666666666666,0.03762716020818539
q2,mean_nll,31,0.5740740740740741,0.2903225806451613,0.03853301950343383
q2,mean_nll,32,0.5925925925925926,0.28125,0.04098111860342225
q2,mean_nll,33,0.6111111111111112,0.30303030303030304,0.04361992824065173
q2,mean_nll,34,0.6296296296296297,0.3235294117647059,0.048036131392345006
q2,mean_nll,35,0.6481481481481481,0.3142857142857143,0.049879432638834056
q2,mean_nll,36,0.6666666666666666,0.3333333333333333,0.05654237459888543
q2,mean_nll,37,0.6851851851851852,0.32432432432432434,0.05802905636387587
q2,mean_nll,38,0.7037037037037037,0.34210526315789475,0.06574809605030386
q2,mean_nll,39,0.7222222222222222,0.3333333333333333,0.06696946463455815
q2,mean_nll,40,0.7407407407407407,0.325,0.06698179246324043
q2,mean_nll,41,0.7592592592592593,0.34146341463414637,0.0680942629693703
q2,mean_nll,42,0.7777777777777778,0.35714285714285715,0.06927937648474743
q2,mean_nll,43,0.7962962962962963,0.3488372093023256,0.07319006130998529
q2,mean_nll,44,0.8148148148148148,0.3409090909090909,0.08020095751904224
q2,mean_nll,45,0.8333333333333334,0.35555555555555557,0.08963424706401764
q2,mean_nll,46,0.8518518518518519,0.34782608695652173,0.09779618288775223
q2,mean_nll,47,0.8703703703703703,0.3617021276595745,0.12270517527052544
q2,mean_nll,48,0.8888888888888888,0.375,0.12455668297682776
q2,mean_nll,49,0.9074074074074074,0.3877551020408163,0.13103969287408757
